All the Wrong Places (2000),"['MOZART Die Zauberflote (The Magic Flute), K. 620: Dies Bildnis ist bezaubernd schon (8.660030-31)', ""RESPIGHI 4 liriche: Sopra un'aria antica (Hungaroton\xa05991813179524)"", 'ROSSINI La cenerentola (Cinderella): Si, ritrovarla io giuro (8.660191-92)']"
Aloha (I) (2015),['GRUBER Stille Nacht (Silent Night) (Capriccio\xa0C49105)']
Along Came Polly (2004),"['BEETHOVEN Cello Sonata No. 2 in G minor, Op. 5, No. 2 (8.550479)']"
Alphabet Murders (The) (1965),['ARNE Rule Brittania (8.553961)']
Altered States (1980),"[""HENRY Le voile d'Orphee (9.80117)""]"
Alvin and the Chipmunks: The Road Chip (2015),['TCHAIKOVSKY The Nutcracker: VIII. Waltz of the Flowers (8.550050)']
Amadeus (1984),"['MOZART 6 German Dances, K. 509 (Capriccio\xa0C10360)', 'MOZART Concerto for 2 Pianos in E-flat major, K. 365: III. Rondo (9.80255)', 'MOZART Concerto for Flute and Harp in C major, K. 299: II. Andantino (8.557011)', 'MOZART Die Zauberflote (The Magic Flute), K. 620: Der Holle Rache kocht in meinem Herzen (8.660030-31)', 'MOZART Die Zauberflote (The Magic Flute), K. 620: Overture (8.660030-31)', 'MOZART Don Giovanni, K. 527: Don Giovanni, a cenar teco (8.660080-82)', 'MOZART Le Nozze di Figaro (The Marriage of Figaro), K. 492: Non piu andrai, farfallone amoroso (8.660102-04)', 'MOZART Mass No. 18 in C minor, K. 427, ""Great"": Kyrie (8.554421)', 'MOZART Maurerische Trauermusik (Masonic Funeral Music), K. 477 (8.570897)', 'MOZART Piano Concerto No. 20 in D minor, K. 466: I. Allegro (8.550434)', 'MOZART Piano Concerto No. 20 in D minor, K. 466: II. Romance (8.550434)', 'MOZART Piano Concerto No. 22 in E-flat major, K. 482: III. Allegro - Andantino cantabile - Allegro (8.550206)', 'MOZART Requiem in D minor, K. 626: Dies irae (8.550235)', 'MOZART Serenade No. 10 in B-flat major, K. 361, ""Gran Partita"": III. Menuetto (8.550060)', 'MOZART Serenade No. 10 in B-flat major, K. 361, ""Gran Partita"": IV. Adagio (8.550060)', 'MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": I. Allegro (8.550026)', 'MOZART Sinfonia Concertante in E-flat major, K. 364: I. Allegro maestoso (8.550332)', 'MOZART Symphony No. 25 in G minor, K. 183: I. Allegro con brio (8.550113)', 'MOZART Symphony No. 29 in A major, K. 201: I. Allegro moderato (8.550119)', 'PERGOLESI Stabat Mater: Quando corpus morietur (8.557447)']"
Amant double (L') (Double Lover) (2017),"['JS BACH Goldberg Variations, BWV 988: Aria (8.550078)']"
Amants de Pont-Neuf (Les) (The Lovers on the Bridge) (1991),"['BRITTEN Variations on a Theme of Frank Bridge, Op. 10 (8.550823)', 'SHOSTAKOVICH String Quartet No. 3 in F major, Op. 73 (8.550974)', 'J STRAUSS II An der schonen, blauen Donau (The Beautiful Blue Danube), Op. 314 (8.550152)']"
Amati Girls (The) (2000),"['BRAHMS 25 Variations and Fugue on a Theme by Handel, Op. 24 (Idil Biret Archive\xa08.571295)']"
Amazing Spider-Man 2 (The) (2014),"['ELGAR Pomp and Circumstance Military March No. 1 (8.557273)', 'J STRAUSS II An der schonen, blauen Donau (The Beautiful Blue Danube), Op. 314 (8.550152)']"
Amazon Women on the Moon (1987),"['CHOPIN Piano Sonata No. 2 in B-flat minor, Op. 35: III. Marche funebre (8.554533)']"
Amelie (Le Fabuleux destin d'Amelie Poulain) (2001),"['BARBER Adagio for Strings, Op. 11 (8.559088)']"
American Gigolo (1980),"['MOZART Clarinet Concerto in A major, K. 622: II. Adagio (8.550345)']"
American President (The) (1995),"['JS BACH Brandenburg Concerto No. 5 in D major, BWV 1050: I. Allegro (8.554608)', 'DELIBES Lakme: Viens, Mallika... Dome epais, ""Flower Duet"" (8.553168)', 'GOUNOD Faust Ballet Music (8.550081)']"
American Tail: Fievel Goes West (An) (1991),"['HAYDN String Quartet in F major, Op. 3, No. 5, Hob.III:17, ""Serenade"" (8.555704)']"
American Werewolf in London (An) (1981),['RAVEL Daphnis et Chloe (8.571211)']
American Werewolf in Paris (An) (1997),['RAVEL Daphnis et Chloe: Part III (8.571211)']
Amistad (1997),"['VIOTTI String Quartet No. 2 in B-flat major, G. 113: II. Andante (Dynamic\xa0CDS138)', 'VIOTTI String Quartet No. 3 in G major, G. 114: III. Andantino (Dynamic\xa0CDS138)']"
Amityville Curse (The) (1989),"['VERDI Rigoletto: Cortigiani, vil razza dannata (8.660013-14)']"
Amour (2012),"[""JS BACH Ich ruf' zu Dir, Herr Jesu Christ (I call on you, Lord Jesus Christ), BWV 639 (8.553032)"", 'BEETHOVEN Bagatelle No. 2 in G minor, Op. 126: Allegro (8.550474)', 'SCHUBERT 4 Impromptus, Op. 90, D. 899: Impromptu No. 1 in C minor (8.550260)', 'SCHUBERT 4 Impromptus, Op. 90, D. 899: Impromptu No. 3 in G-flat major (8.550260)']"
Anaconda (1997),"[""VERDI Don Carlos: Dio, che nell'alma infondere (8.660096-98)""]"
Analyze That (2002),['BERNSTEIN West Side Story: Excerpts (8.559126)']
Analyze This (1999),"[""FLOTOW Martha: M'appari tutt' amor (8.556632)"", ""MENDELSSOHN A Midsummer Night's Dream: Wedding March, Op. 61, No. 4 (8.554433)"", 'PROKOFIEV Violin Concerto No. 2 in G minor, Op. 63 (8.553494)', 'VERDI Rigoletto: La donna e mobile (8.660013-14)']"
Anastasia (1956),"['ARENSKY Suites for 2 Pianos Nos. 1-5: Suite No. 1 in F Major, Op. 15 (Marco Polo\xa08.223497)', 'MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"" (8.550026)', 'RIMSKY-KORSAKOV Russian Easter Festival, Op. 36 (8.550085)', 'J STRAUSS II  Wildfeuer, Polka francaise, Op. 313 (Marco Polo\xa08.223240)']"
