"JS BACH Capriccio on the Departure of his Most Beloved Brother, BWV 992 (8.550692)",['Call Me by Your Name (2017))']
"JS BACH Cello Suite No. 1 in G major, BWV 1007 (8.557280-81)","['Flatliners (2017)', 'Killing Box (The) (1993)', 'Pianist (The) (2002))']"
"JS BACH Cello Suite No. 1 in G major, BWV 1007: I. Prelude (8.557280-81)","[""Antonia's Line (1995)"", 'Beginners (2010)', 'Choice (The) (2016)', 'Elysium (2013)', 'Ex Machina (2015)', 'Hangover Part II (The) (2011)', 'Hoje Eu Quero Voltar Sozinho (The Way He Looks) (2014)', 'How Not to Disappear Completely (2015)', 'Irrational Man (2015)', ""J'embrasse pas (1991)"", 'Maniac (2013)', 'Master and Commander: The Far Side of the World (2003)', 'MI-5 (Spooks: The Greater Good) (2015)', '  Music of the Heart (1999)', 'Riot (2018)', 'Simple Twist of Fate (A) (1994)', 'Still Alice (2014))']"
"JS BACH Cello Suite No. 1 in G major, BWV 1007: VI. Gigue (8.557280-81)",['Hilary and Jackie (1998))']
"JS BACH Cello Suite No. 2 in D minor, BWV 1008: IV. Sarabande (8.557280-81)",['Through a Glass Darkly (1961))']
"JS BACH Cello Suite No. 3 in C major, BWV 1009 (8.557280-81)",['Brothers Grimsby (The) (2016))']
"JS BACH Cello Suite No. 3 in C major, BWV 1009: I. Prelude (8.557280-81)","['Accountant (The) (2016)', 'Hilary and Jackie (1998))']"
"JS BACH Cello Suite No. 3 in C major, BWV 1009: II. Allemande (8.557280-81)",['Casa Grande (2014))']
"JS BACH Cello Suite No. 3 in C major, BWV 1009: V. Bourree I and II (8.557280-81)",['Casa Grande (2014))']
"JS BACH Cello Suite No. 4 in E-flat major, BWV 1010: I. Prelude (8.557280-81)",['Late Quartet (A) (2012))']
"JS BACH Cello Suite No. 4 in E-flat major, BWV 1010: II. Allemande (8.557280-81)",['Late Quartet (A) (2012))']
"JS BACH Cello Suite No. 4 in E-flat major, BWV 1010: IV. Sarabande (8.557280-81)",['Autumn Sonata (1978))']
"JS BACH Cello Suite No. 5 in C minor, BWV 1011: I. Prelude (8.557280-81)","['Casa Grande (2014)', 'Homesick (I) (2015))']"
"JS BACH Cello Suite No. 5 in C minor, BWV 1011: IV. Sarabande (8.557280-81)",['Cries and Whispers (1972))']
"JS BACH Cello Suite No. 6 in D major, BWV 1012 (8.557280-81)",['Another Woman (1988))']
"JS BACH Cello Suite No. 6 in D major, BWV 1012: V. Gavotte I and II (8.557280-81)",['Hilary and Jackie (1998))']
"JS BACH Concerto for 2 Harpsichords in C minor, BWV 1060: II. Largo ovvero adagio (8.554606)",['Barry Lyndon (1975))']
"JS BACH Concerto for 2 Violins in D minor, BWV 1043 (8.550194)","['Bad Company (2002)', 'Music of the Heart (1999))']"
"JS BACH Concerto for 2 Violins in D minor, BWV 1043 : I. Vivace (8.550194)","['Hannah and Her Sisters (1986)', 'Hellraiser III: Hell on Earth (1992))']"
"JS BACH Concerto for 2 Violins in D minor, BWV 1043: II. Largo ma non tanto (8.550194)","[""Caveman's Valentine (The) (2001)"", 'Children of a Lesser God (1986)', 'Island of Dr Moreau (The)', 'Thor: Ragnarok (2017)', 'Torrents of Spring (1989))']"
"JS BACH Concerto for 4 Harpsichords in A minor, BWV 1065 (8.554606)",['Dangerous Liaisons (1988))']
"JS BACH Concerto in the Italian Style, BWV 971, ""Italian Concerto"": I. Allegro (8.550709)",['Talented Mr Ripley (The) (1999))']
"JS BACH Concerto in the Italian Style, BWV 971, ""Italian Concerto"": III. Presto (8.550709)",['Harvard Man (2001))']
"JS BACH English Suite No. 2 in A minor, BWV 807 (8.553012)",['Crimes and Misdemeanours (1989))']
"JS BACH English Suite No. 2 in A minor, BWV 807: I. Prelude (8.553012)",['Glenn Gould (32 Short Films about) (1993))']
"JS BACH English Suite No. 2 in A minor, BWV 807: II. Allemande (8.553012)",['Unbreakable (2000))']
"JS BACH English Suite No. 2 in A minor, BWV 807: V. Bourree I and II (8.553012)","[""Schindler's List (1993))""]"
"JS BACH English Suite No. 2 in A minor, BWV 807: VI. Gigue (8.553012)",['Glenn Gould (32 Short Films about) (1993))']
"English Suite No. 5 in E minor, BWV 810: I. Prelude (8.553013",['Glenn Gould (32 Short Films about) (1993))']
"JS BACH Fantasia in C minor, BWV 562 (8.553032)",['Favourite (The) (2018))']
