COMPOSER composition title,composer(abbrev),composition
"HANDEL Serse (Xerxes), HWV 40: Ombra mai fu, ""Largo"" (8.553751)",HANDEL,Serse
DONIZETTI Lucia di Lammermoor: D'immenso giubilo (8.660255-56),DONIZETTI,Lucia di Lammermoor: D'immenso giubilo
"DVORAK Serenade for Strings in E major, Op. 22 (8.550419)",DVORAK,"Serenade for Strings in E major, Op. 22"
"SCHUBERT String Quintet in C major, Op. 163, D. 956: II. Adagio (8.550388)",SCHUBERT,"String Quintet in C major, Op. 163, D. 956: II. Adagio"
J STRAUSS II Die Fledermaus: Ouverture (8.660017-18),J STRAUSS II,Die Fledermaus: Ouverture
"JS BACH Cello Suite No. 3 in C major, BWV 1009: II. Allemande (8.557280-81)",JS BACH,"Cello Suite No. 3 in C major, BWV 1009: II. Allemande"
"JS BACH Cello Suite No. 3 in C major, BWV 1009: V. Bourree I and II (8.557280-81)",JS BACH,"Cello Suite No. 3 in C major, BWV 1009: V. Bourree I and II"
"JS BACH Cello Suite No. 5 in C minor, BWV 1011: I. Prelude (8.557280-81)",JS BACH,"Cello Suite No. 5 in C minor, BWV 1011: I. Prelude"
"CPE BACH Keyboard Sonata in E Major, Wq. 48/3, H. 26, ""Prussian Sonata No. 3"" (8.572674)",CPE BACH,"Keyboard Sonata in E Major, Wq. 48/3, H. 26, ""Prussian Sonata No. 3"""
"MOZART  Die Zauberflote (The Magic Flute), K. 620: Pa - Pa - Pa - Pa - Pa - Pa - Papagena! (8.660030-31)",MOZART,Die Zauberflote
RAMEAU Pieces de Clavecin: Suite in D minor - major: II. Les Niais de Sologne and two Doubles (8.553047),RAMEAU,Pieces de Clavecin: Suite in D minor - major: II. Les Niais de Sologne and two Doubles
"VIVALDI Trio Sonata in D minor, Op. 1, No. 12, RV 63, ""Follia"" (Tactus TC672221)",VIVALDI,"Trio Sonata in D minor, Op. 1, No. 12, RV 63, ""Follia"""
"ZELENKA Marcia per la Cavalleria, No. 1 (8.555879)",ZELENKA,"Marcia per la Cavalleria, No. 1"
"JS BACH St. Matthew Passion, BWV 244: Wir setzen uns mit Tranen nieder (8.550832-34)",JS BACH,"St. Matthew Passion, BWV 244: Wir setzen uns mit Tranen nieder"
"RIMSKY-KORSAKOV The Tale of Tsar Saltan Suite, Op. 57: Flight of the Bumble-bee (8.550085)",RIMSKY-KORSAKOV,"The Tale of Tsar Saltan Suite, Op. 57: Flight of the Bumble-bee"
"TCHAIKOVSKY Eugene Onegin, Op. 24: Lyubvi vsye vozrasti pokorni (Everyone knows love on earth) (9.80440)",TCHAIKOVSKY,"Eugene Onegin, Op. 24: Lyubvi vsye vozrasti pokorni"
"BEETHOVEN Symphony No. 5 in C minor, Op. 67: IV. Allegro (8.553476)",BEETHOVEN,"Symphony No. 5 in C minor, Op. 67: IV. Allegro"
"HAYDN Piano Concerto in D major, Hob.XVIII:11 (8.553265)",HAYDN,"Piano Concerto in D major, Hob.XVIII:11"
"JS BACH Concerto for 2 Violins in D minor, BWV 1043: II. Largo ma non tanto (8.550194)",JS BACH,"Concerto for 2 Violins in D minor, BWV 1043: II. Largo ma non tanto"
ROSSINI La cenerentola (Cinderella) (8.660191-92),ROSSINI,La cenerentola
"SCHUBERT Der Musensohn, Op. 92, No. 1, D. 764 (8.553113)",SCHUBERT,"Der Musensohn, Op. 92, No. 1, D. 764"
"SCHUBERT Frauenliebe und -leben, Op. 42 : No. 3. Ich kann's nicht fassen, nicht glauben (8.111244)",SCHUBERT,"Frauenliebe und -leben, Op. 42 : No. 3. Ich kann's nicht fassen, nicht glauben"
"HAYDN String Quartet No. 15 in B-flat major, Op. 9, No. 5, Hob.III:23 (8.550787)",HAYDN,"String Quartet No. 15 in B-flat major, Op. 9, No. 5, Hob.III:23"
PUCCINI Turandot (8.660089-90),PUCCINI,Turandot
"MENDELSSOHN Symphony No. 4 in A major, Op. 90, ""Italian"" (8.553200)",MENDELSSOHN,"Symphony No. 4 in A major, Op. 90, ""Italian"""
"PROKOFIEV Romeo and Juliet, Op. 64 (8.553184-85)",PROKOFIEV,"Romeo and Juliet, Op. 64"
"RACHMANINOV Piano Concerto No. 2 in C minor, Op. 18 (8.550117)",RACHMANINOV,"Piano Concerto No. 2 in C minor, Op. 18"
TCHAIKOVSKY The Nutcracker (8.550050),TCHAIKOVSKY,The Nutcracker
BELLINI I puritani: Fini ... me lassa (8.110259-60),BELLINI,I puritani: Fini ... me lassa
ARNE Rule Britannia (8.553961),ARNE,Rule Britannia
SULLIVAN The Mikado: Three little maids from school (8.110176-77),SULLIVAN,The Mikado: Three little maids from school
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 2 in C minor, BWV 847 (8.553796-97)",JS BACH,"The Well-Tempered Clavier Book I: Prelude and Fugue No. 2 in C minor, BWV 847"
"DEBUSSY Preludes, Book 1: No. 4 Les sons et les parfums tournent dans l'air du soir (8.553293)",DEBUSSY,"Preludes, Book 1: No. 4 Les sons et les parfums tournent dans l'air du soir"
"DEBUSSY Preludes, Book 1: No. 8 La fille aux cheveux de lin (8.553293)",DEBUSSY,"Preludes, Book 1: No. 8 La fille aux cheveux de lin"
"DEBUSSY Preludes, Book 1: No. 12 Minstrels (8.553293)",DEBUSSY,"Preludes, Book 1: No. 12 Minstrels"
"SCHUBERT 4 Impromptus, Op. 142, D. 935: Impromptu No. 2 in A-flat major (8.550260)",SCHUBERT,"4 Impromptus, Op. 142, D. 935: Impromptu No. 2 in A-flat major"
"TCHAIKOVSKY Symphony No. 5 in E minor, Op. 64 (8.550716)",TCHAIKOVSKY,"Symphony No. 5 in E minor, Op. 64"
"TCHAIKOVSKY Eugene Onegin, Op. 24, Act I: Tatiana's Letter Scene (8.557926-27)",TCHAIKOVSKY,"Eugene Onegin, Op. 24, Act I: Tatiana's Letter Scene"
"POULENC Alexander Nevsky, Op. 78: V. The Battle on Ice (8.555710)",POULENC,"Alexander Nevsky, Op. 78: V. The Battle on Ice"
"POULENC Alexander Nevsky, Op. 78: VII. Alexander's Entry into Pskov (8.555710)",POULENC,"Alexander Nevsky, Op. 78: VII. Alexander's Entry into Pskov"
"PROKOFIEV Lieutenant Kije Suite, Op. 60 (8.554057)",PROKOFIEV,"Lieutenant Kije Suite, Op. 60"
"SHOSTAKOVICH Hamlet, Op. 116 (Suite, Op. 116a): The Ghost (Suite, No. 3) (8.557446)",SHOSTAKOVICH,"Hamlet, Op. 116"
"MAHLER Symphony No. 8 in E-flat major, ""Symphony of a Thousand"": Part II. Final Scene from Faust: Alles Vergangliche ist nur ein Gleichnis (8.550533-34)",MAHLER,"Symphony No. 8 in E-flat major, ""Symphony of a Thousand"": Part II. Final Scene from Faust: Alles Vergangliche ist nur ein Gleichnis"
SATIE 3 Gnossiennes: Lent (8.550305),SATIE,3 Gnossiennes: Lent
BIZET L'arlesienne Suite No. 2 (8.550061),BIZET,L'arlesienne Suite No. 2
"CHOPIN Polonaise No. 6 in A-flat major, Op. 53, ""Heroic"" (8.554534)",CHOPIN,"Polonaise No. 6 in A-flat major, Op. 53, ""Heroic"""
"ELGAR Variations on an Original Theme, Op. 36, ""Enigma"": Var. IX (Nimrod) (8.553564)",ELGAR,"Variations on an Original Theme, Op. 36, ""Enigma"": Var. IX"
"SCHUBERT Piano Quintet in A major, Op. 114, D. 667, ""Die Forelle"" (The Trout): IV. Thema with Variations (8.550658)",SCHUBERT,"Piano Quintet in A major, Op. 114, D. 667, ""Die Forelle"""
"GERSHWIN Oh, Kay!: Someone To Watch Over Me (8.120828)",GERSHWIN,"Oh, Kay!: Someone To Watch Over Me"
STEINER King Kong (8.223763),STEINER,King Kong
ROSSINI Il Barbiere di Siviglia (The Barber of Seville): Una voce poco fa (8.660027-29),ROSSINI,Il Barbiere di Siviglia
"CHOPIN Prelude No. 15 in D-flat major, Op. 28, No. 15 (8.554536)",CHOPIN,"Prelude No. 15 in D-flat major, Op. 28, No. 15"
"DVORAK Symphony No. 9 in E minor, Op. 95, B. 178, ""From the New World"": II. Largo (8.550271)",DVORAK,"Symphony No. 9 in E minor, Op. 95, B. 178, ""From the New World"": II. Largo"
ROSSINI Il viaggio a Reims: Overture (9.80696),ROSSINI,Il viaggio a Reims: Overture
"BEETHOVEN Symphony No. 9 in D minor, Op. 125, ""Choral"": II. Molto vivace (8.553478)",BEETHOVEN,"Symphony No. 9 in D minor, Op. 125, ""Choral"": II. Molto vivace"
ELGAR Pomp and Circumstance Military March No. 4 (8.557273),ELGAR,Pomp and Circumstance Military March No. 4
"PURCELL Music on the Death of Queen Mary: March, Z. 860A (8.553129)",PURCELL,"Music on the Death of Queen Mary: March, Z. 860A"
ROSSINI La gazza ladra (The Thieving Magpie): Overture (8.550236),ROSSINI,La gazza ladra
"R STRAUSS Also sprach Zarathustra, Op. 30, TrV 176 (8.550182)",R STRAUSS,"Also sprach Zarathustra, Op. 30, TrV 176"
"VIVALDI The 4 Seasons: Violin Concerto in F minor, Op. 8, No. 4, RV 297, ""L'inverno"" (Winter) (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in F minor, Op. 8, No. 4, RV 297, ""L'inverno"""
RAVEL Piano Trio in A Minor: I. Modere (8.550934),RAVEL,Piano Trio in A Minor: I. Modere
RAVEL Violin Sonata in G major: II. Blues (8.550276),RAVEL,Violin Sonata in G major: II. Blues
ADES Souvenir (8.574109),ADES,Souvenir
BIZET Carmen: Seguidilla and Duet: Pres des remparts de Seville (8.660005-07),BIZET,Carmen: Seguidilla and Duet: Pres des remparts de Seville
DEBUSSY Children's Corner Suite: Golliwog's cakewalk (8.555800),DEBUSSY,Children's Corner Suite: Golliwog's cakewalk
DELIBES Coppelia: Act I - Valse (8.553356-57),DELIBES,Coppelia: Act I - Valse
GOUNOD Faust: Ne permettrez - vous pas (8.111083-85),GOUNOD,Faust: Ne permettrez - vous pas
SAINT-SAENS Carnival of the Animals: I. Introduction and Royal March of the Lion (8.550335),SAINT-SAENS,Carnival of the Animals: I. Introduction and Royal March of the Lion
"BEETHOVEN Piano Trio in D major, Op. 70, No. 1, ""Ghost"": II. Largo assai ed espressivo (8.550948)",BEETHOVEN,"Piano Trio in D major, Op. 70, No. 1, ""Ghost"": II. Largo assai ed espressivo"
"MOZART Piano Trio No. 2 in E-flat major, K. 498, ""Kegelstatt"": III. Rondo (8.550439)",MOZART,"Piano Trio No. 2 in E-flat major, K. 498, ""Kegelstatt"": III. Rondo"
"R R SCHUMANN Davidsbundlertanze, Op. 6: II. Innig (8.550493)",R R SCHUMANN,"Davidsbundlertanze, Op. 6: II. Innig"
"R R SCHUMANN Davidsbundlertanze, Op. 6: XVII. Wie aus der Ferne (8.550493)",R R SCHUMANN,"Davidsbundlertanze, Op. 6: XVII. Wie aus der Ferne"
"LISZT Liebestraume, S541/R211: Nocturne in A-flat major (8.553595)",LISZT,"Liebestraume, S541/R211: Nocturne in A-flat major"
"R R SCHUMANN Kinderszenen (Scenes of childhood), Op. 15: VII. Traumerei (Dreaming) (8.550784)",R R SCHUMANN,Kinderszenen
"J STRAUSS II Das Spitzentuch der Konigin: Rosen aus dem Suden (Roses from the South), Op. 388 (8.550152)",J STRAUSS II,Das Spitzentuch der Konigin: Rosen aus dem Suden
"J STRAUSS II Wiener Blut (Vienna Blood), Op. 354 (8.550152)",J STRAUSS II,Wiener Blut
VERDI Nabucco: Chorus of the Hebrew Slaves (8.553963),VERDI,Nabucco: Chorus of the Hebrew Slaves
"JS BACH St. Matthew Passion, BWV 244: Erkenne mich, mein Huter (8.550832-34)",JS BACH,"St. Matthew Passion, BWV 244: Erkenne mich, mein Huter"
COPLAND Appalachian Spring: VII. Doppio movimento (Cedille CDR90000-125),COPLAND,Appalachian Spring: VII. Doppio movimento
"BEETHOVEN String Trio in G major, Op. 9, No. 1 (8.572377)",BEETHOVEN,"String Trio in G major, Op. 9, No. 1"
"MOZART Piano Concerto No. 21 in C major, K. 467, ""Elvira Madigan"": I. Allegro maestoso (8.550434)",MOZART,"Piano Concerto No. 21 in C major, K. 467, ""Elvira Madigan"": I. Allegro maestoso"
"CHOPIN Polonaise No. 1 in C-Sharp Minor, Op. 26, No. 1 (8.554534)",CHOPIN,"Polonaise No. 1 in C-Sharp Minor, Op. 26, No. 1"
"FAURE Requiem, Op. 48: In paradisum (8.550765)",FAURE,"Requiem, Op. 48: In paradisum"
WAGNER Die Meistersinger von Nurnberg: Overture (8.551107),WAGNER,Die Meistersinger von Nurnberg: Overture
"JS BACH Partita No. 1 in B-flat major, BWV 825 (8.550692)",JS BACH,"Partita No. 1 in B-flat major, BWV 825"
"PROKOFIEV Piano Sonata No. 7 in B-flat major, Op. 83: III. Precipitato (8.553021)",PROKOFIEV,"Piano Sonata No. 7 in B-flat major, Op. 83: III. Precipitato"
"SHOSTAKOVICH Piano Trio No. 2 in E minor, Op. 67: I. Andante (8.553297)",SHOSTAKOVICH,"Piano Trio No. 2 in E minor, Op. 67: I. Andante"
VILLA-LOBOS Bachianas brasileiras No. 1 for Cello Ensemble (8.557460-62),VILLA-LOBOS,Bachianas brasileiras No. 1 for Cello Ensemble
"MENDELSSOHN Violin Concerto in E minor, Op. 64 (8.550153)",MENDELSSOHN,"Violin Concerto in E minor, Op. 64"
"MOZART Concerto for Flute and Harp in C major, K. 299 (8.557011)",MOZART,"Concerto for Flute and Harp in C major, K. 299"
VIVALDI Guitar Concerto in D Major: II. Largo (8.550384),VIVALDI,Guitar Concerto in D Major: II. Largo
"MOZART Piano Concerto No. 21 in C major, K. 467, ""Elvira Madigan"": II. Andante (8.550434)",MOZART,"Piano Concerto No. 21 in C major, K. 467, ""Elvira Madigan"": II. Andante"
HAYDN Schopfung (Die) (The Creation) (8.557380-81),HAYDN,Schopfung
PUCCINI La Boheme: Che gelida manina (8.553151),PUCCINI,La Boheme: Che gelida manina
"JS BACH Cello Suite No. 5 in C minor, BWV 1011: IV. Sarabande (8.557280-81)",JS BACH,"Cello Suite No. 5 in C minor, BWV 1011: IV. Sarabande"
"CHOPIN Mazurka No. 13 in A minor, Op. 17, No. 4 (8.554529)",CHOPIN,"Mazurka No. 13 in A minor, Op. 17, No. 4"
"BEETHOVEN Piano Concerto No. 5 in E-flat major, Op. 73, ""Emperor"" (8.550121)",BEETHOVEN,"Piano Concerto No. 5 in E-flat major, Op. 73, ""Emperor"""
"JS BACH English Suite No. 2 in A minor, BWV 807 (8.553012)",JS BACH,"English Suite No. 2 in A minor, BWV 807"
"SCHUBERT String Quartet No. 15 in G major, D. 887, Op. 161 (8.557125)",SCHUBERT,"String Quartet No. 15 in G major, D. 887, Op. 161"
"BEETHOVEN Violin Sonata No. 5 in F major, Op. 24, ""Spring"" (8.550283)",BEETHOVEN,"Violin Sonata No. 5 in F major, Op. 24, ""Spring"""
"BEETHOVEN Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"" (8.550045)",BEETHOVEN,"Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"""
"PROKOFIEV Lieutenant Kije Suite, Op. 60: III. Kije's Wedding (8.554057)",PROKOFIEV,"Lieutenant Kije Suite, Op. 60: III. Kije's Wedding"
"TCHAIKOVSKY Piano Concerto No. 1 in B-flat minor, Op. 23: I. Allegro non troppo e molto maestoso (8.550137)",TCHAIKOVSKY,"Piano Concerto No. 1 in B-flat minor, Op. 23: I. Allegro non troppo e molto maestoso"
"JS BACH Brandenburg Concerto No. 4 in G major, BWV 1049: I. Allegro (8.554608)",JS BACH,"Brandenburg Concerto No. 4 in G major, BWV 1049: I. Allegro"
"BEETHOVEN Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto (8.550045)",BEETHOVEN,"Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto"
"R SCHUMANN Kinderszenen (Scenes of childhood), Op. 15: I. Von fremden Landern und Menschen (Of Foreign Lands and People) (8.550784)",R SCHUMANN,Kinderszenen
"R SCHUMANN Kinderszenen (Scenes of childhood), Op. 15: VII. Traumerei (Dreaming) (8.550784)",R SCHUMANN,Kinderszenen
STRAVINSKY Le sacre du printemps (The Rite of Spring) (1913 version) (8.557501),STRAVINSKY,Le sacre du printemps
"WIDOR Organ Symphony No. 5 in F minor, Op. 42, No. 1: III. Toccata (8.570310)",WIDOR,"Organ Symphony No. 5 in F minor, Op. 42, No. 1: III. Toccata"
KETELBEY In a Chinese Temple Garden: Oriental Fantasy (8.110174),KETELBEY,In a Chinese Temple Garden: Oriental Fantasy
"IPPOLITOV-IVANOV Caucasian Sketches, Suite No. 1, Op. 10: IV. Procession of the Sardar (8.553405)",IPPOLITOV-IVANOV,"Caucasian Sketches, Suite No. 1, Op. 10: IV. Procession of the Sardar"
BYRD Mass for Five Voices: Agnus Dei (8.550574),BYRD,Mass for Five Voices: Agnus Dei
SUSATO Danserye: Basse danse: No. 5. La morisque (Hungaroton HCD12194),SUSATO,Danserye: Basse danse: No. 5. La morisque
"BEETHOVEN String Quartet No. 5 in A major, Op. 18, No. 5 (8.550560)",BEETHOVEN,"String Quartet No. 5 in A major, Op. 18, No. 5"
"HAYDN String Quartet No. 57 in C major, Op. 74, No. 1, Hob.III:72 (8.550396)",HAYDN,"String Quartet No. 57 in C major, Op. 74, No. 1, Hob.III:72"
TCHAIKOVSKY The Nutcracker: III. Dance of the Sugar Plum Fairies (8.550050),TCHAIKOVSKY,The Nutcracker: III. Dance of the Sugar Plum Fairies
"JS BACH Concerto for 4 Harpsichords in A minor, BWV 1065 (8.554606)",JS BACH,"Concerto for 4 Harpsichords in A minor, BWV 1065"
"HANDEL Organ Concerto No. 13 in F major, HWV 295, ""The Cuckoo and The Nightingale"": Allegro (8.550069)",HANDEL,"Organ Concerto No. 13 in F major, HWV 295, ""The Cuckoo and The Nightingale"": Allegro"
"JS BACH St. John Passion, BWV 245: Part 1 No. 1: Chor - Herr, unser Herrscher (8.550664-65)",JS BACH,"St. John Passion, BWV 245: Part 1 No. 1: Chor - Herr, unser Herrscher"
"MOZART Piano Sonata No. 17 in B-flat major, K. 570 (8.550446)",MOZART,"Piano Sonata No. 17 in B-flat major, K. 570"
ELLINGTON Sophisticated Lady (8.555017),ELLINGTON,Sophisticated Lady
"RACHMANINOV The Isle of the Dead, Op. 29 (8.550583)",RACHMANINOV,"The Isle of the Dead, Op. 29"
"J STRAUSS II Wein, Weib und Gesang! (Wine, Woman and Song!), Op. 333 (8.550152)",J STRAUSS II,"Wein, Weib und Gesang!"
"RACHMANINOV 5 morceaux de fantaisie, Op. 3: No. 2 Prelude in C-sharp minor (8.550348)",RACHMANINOV,"5 morceaux de fantaisie, Op. 3: No. 2 Prelude in C-sharp minor"
"RACHMANINOV Rhapsody on a Theme of Paganini, Op. 43 (8.550809)",RACHMANINOV,"Rhapsody on a Theme of Paganini, Op. 43"
"BEETHOVEN Piano Concerto No. 5 in E-flat major, Op. 73, ""Emperor"": II. Adagio un poco mosso (8.550121)",BEETHOVEN,"Piano Concerto No. 5 in E-flat major, Op. 73, ""Emperor"": II. Adagio un poco mosso"
"HANDEL Water Music: Suite No. 2 in D major, HWV 349: I. Allegro (8.557764)",HANDEL,"Water Music: Suite No. 2 in D major, HWV 349: I. Allegro"
"SCHUBERT String Quartet No. 14 in D minor, D. 810, ""Death and the Maiden"": I. Allegro (8.550590)",SCHUBERT,"String Quartet No. 14 in D minor, D. 810, ""Death and the Maiden"": I. Allegro"
ALBINONI Adagio in G minor (attrib. to Albinoni) (8.550014),ALBINONI,Adagio in G minor
"LEHAR The Merry Widow: Es lebt eine Vilja, ein Waldmagdelein (8.550942)",LEHAR,"The Merry Widow: Es lebt eine Vilja, ein Waldmagdelein"
MAHLER Symphony No. 3: IV. Sehr langsam (8.550525-26),MAHLER,Symphony No. 3: IV. Sehr langsam
MAHLER Symphony No. 5: IV. Adagietto (8.550528),MAHLER,Symphony No. 5: IV. Adagietto
MUSSORGSKY Pesni i plyaski smerti (Songs and Dances of Death): No. 1. Lullaby (8.572218),MUSSORGSKY,Pesni i plyaski smerti
PUCCINI Madama Butterfly: Vogliatemi bene (8.660015-16),PUCCINI,Madama Butterfly: Vogliatemi bene
"CHOPIN Prelude No. 4 in E minor, Op. 28, No. 4 (8.554536)",CHOPIN,"Prelude No. 4 in E minor, Op. 28, No. 4"
"BARBER Violin Concerto, Op. 14: II. Andante (8.559044)",BARBER,"Violin Concerto, Op. 14: II. Andante"
PUCCINI La Boheme: Sono andati (8.553151),PUCCINI,La Boheme: Sono andati
MYERS Cavatina (8.554576),MYERS,Cavatina
"HAYDN String Quartet No. 61 in D minor, Op. 76, No. 2, Hob.III:76, ""Fifths"" (8.550314)",HAYDN,"String Quartet No. 61 in D minor, Op. 76, No. 2, Hob.III:76, ""Fifths"""
DONIZETTI Lucia di Lammermoor: Chi mi frena in tal momento (8.660255-56),DONIZETTI,Lucia di Lammermoor: Chi mi frena in tal momento
"MENDELSSOHN Tema con variazioni in E major, Op. 81, No. 1 (8.550863)",MENDELSSOHN,"Tema con variazioni in E major, Op. 81, No. 1"
"VIVALDI Gloria in D major, RV 589: Laudamus te (8.550767)",VIVALDI,"Gloria in D major, RV 589: Laudamus te"
"JS BACH Violin Partita No. 1 in B minor, BWV 1002 (8.570277-78)",JS BACH,"Violin Partita No. 1 in B minor, BWV 1002"
"GRIEG Peer Gynt Suite No. 1, Op. 46: IV. In the Hall of the Mountain King (8.554050)",GRIEG,"Peer Gynt Suite No. 1, Op. 46: IV. In the Hall of the Mountain King"
"TCHAIKOVSKY Manfred Symphony, Op. 58: I. Lento lugubre (8.550224)",TCHAIKOVSKY,"Manfred Symphony, Op. 58: I. Lento lugubre"
"J STRAUSS II Fruhlingsstimmen (Voices of Spring), Op. 410 (8.550152)",J STRAUSS II,Fruhlingsstimmen
"VIVALDI Nisi Dominus, RV 608: Cum dederit dilectis suis (8.570445)",VIVALDI,"Nisi Dominus, RV 608: Cum dederit dilectis suis"
PUCCINI Madama Butterfly: Bimba dagli occhi pieni ci malia (8.660015-16),PUCCINI,Madama Butterfly: Bimba dagli occhi pieni ci malia
"VERDI La Traviata: Un di, felice, eterea (8.660011-12)",VERDI,"La Traviata: Un di, felice, eterea"
"JS BACH Brandenburg Concerto No. 3 in G major, BWV 1048: I. Allegro (8.554607)",JS BACH,"Brandenburg Concerto No. 3 in G major, BWV 1048: I. Allegro"
"SIBELIUS Finlandia, Op. 26 (8.550103)",SIBELIUS,"Finlandia, Op. 26"
"BRAHMS Symphony No. 1 in C minor, Op. 68: IV. Adagio (8.550278)",BRAHMS,"Symphony No. 1 in C minor, Op. 68: IV. Adagio"
GOULD American Salute (8.559005),GOULD,American Salute
"BRAHMS Schicksalslied, Op. 54 (8.572694)",BRAHMS,"Schicksalslied, Op. 54"
BROUWER Sonata: III. La Toccata de Pasquini (8.554195),BROUWER,Sonata: III. La Toccata de Pasquini
"CHOPIN Nocturne No. 7 in C-sharp minor, Op. 27, No. 1 (8.554531)",CHOPIN,"Nocturne No. 7 in C-sharp minor, Op. 27, No. 1"
"GORECKI String Quartet No. 3, Op. 67, ""Piesni spiewaja"" (...Songs Are Sung): II. Largo, Cantabile (Nonesuch 075597999327)",GORECKI,"String Quartet No. 3, Op. 67, ""Piesni spiewaja"""
IBERT Flute Concerto: II. Andante (Capriccio C71028),IBERT,Flute Concerto: II. Andante
"LISZT Orpheus, S98/R415 (8.553355)",LISZT,"Orpheus, S98/R415"
MASSENET Cherubin: Lorsque vous n'aurez rien a faire (Dynamic CDS508),MASSENET,Cherubin: Lorsque vous n'aurez rien a faire
"JS BACH St. Matthew Passion, BWV 244: Erbarme dich (8.550832-34)",JS BACH,"St. Matthew Passion, BWV 244: Erbarme dich"
"CHOPIN Impromptu No. 3 in G-flat major, Op. 51 (8.554538)",CHOPIN,"Impromptu No. 3 in G-flat major, Op. 51"
VERDI Messa da Requiem: Dies irae (8.550944-45),VERDI,Messa da Requiem: Dies irae
CANTELOUBE Chants d'Auvergne: No. 2. Bailero (8.557491),CANTELOUBE,Chants d'Auvergne: No. 2. Bailero
ALBINONI Adagio (8.550014),ALBINONI,Adagio
"SCHUBERT Symphony No. 8 in B minor, D. 759, ""Unfinished"": I. Allegro moderato (8.553223)",SCHUBERT,"Symphony No. 8 in B minor, D. 759, ""Unfinished"": I. Allegro moderato"
"BEETHOVEN Symphony No. 7 in A major, Op. 92: II. Allegretto (8.553477)",BEETHOVEN,"Symphony No. 7 in A major, Op. 92: II. Allegretto"
"MENDELSSOHN Symphony No. 5 in D major, Op. 107, ""Reformation"": I. Andante - Allegro con fuoco (8.550957)",MENDELSSOHN,"Symphony No. 5 in D major, Op. 107, ""Reformation"": I. Andante - Allegro con fuoco"
"FUCIK Florentiner Marsch (Florentine March), Op. 214, ""Grande marcia Italiana"" (8.557048)",FUCIK,Florentiner Marsch
"J STRAUSS II Annen Polka, Op. 117 (8.550336)",J STRAUSS II,"Annen Polka, Op. 117"
"J STRAUSS II Morgenblatter, Walzer, Op. 279 (8.554524)",J STRAUSS II,"Morgenblatter, Walzer, Op. 279"
"J STRAUSS II Wiener Bonbons, Walzer, Op. 307 (8.554518)",J STRAUSS II,"Wiener Bonbons, Walzer, Op. 307"
COPLAND Fanfare for the Common Man (8.550282),COPLAND,Fanfare for the Common Man
"MOZART Sinfonia Concertante in E-flat major, K. 364: II. Andante (8.550332)",MOZART,"Sinfonia Concertante in E-flat major, K. 364: II. Andante"
"MOZART Requiem in D Minor, K. 626: Dies irae (8.550235)",MOZART,"Requiem in D Minor, K. 626: Dies irae"
"BEETHOVEN Symphony No. 5 in C minor, Op. 67 (8.553476)",BEETHOVEN,"Symphony No. 5 in C minor, Op. 67"
VERDI La forza del destino: Sinfonia (8.553089),VERDI,La forza del destino: Sinfonia
WAGNER Die Walkure: Feuerzauber (Magic Fire Music) (8.660172-74),WAGNER,Die Walkure: Feuerzauber
"HANDEL Israel in Egypt, HWV 54: Sing ye to the Lord (8.570966-67)",HANDEL,"Israel in Egypt, HWV 54: Sing ye to the Lord"
VERDI Quattro pezzi sacri: Ave Maria (8.550944-45),VERDI,Quattro pezzi sacri: Ave Maria
"GRIEG Piano Concerto in A minor, Op. 16: I. Allegro molto moderato (8.550118)",GRIEG,"Piano Concerto in A minor, Op. 16: I. Allegro molto moderato"
"SAINT-SAENS Havanaise in E major, Op. 83 (8.556675)",SAINT-SAENS,"Havanaise in E major, Op. 83"
"SPOHR 6 Songs, Op. 25: No. 1 Wiegenlied (Marco Polo 8.223869)",SPOHR,"6 Songs, Op. 25: No. 1 Wiegenlied"
"STRAUSS I Wiener-Gemuths-Walzer, Op. 116 (8.225288)",STRAUSS I,"Wiener-Gemuths-Walzer, Op. 116"
"BYRD Domine, secundum actum meum (Chandos CHAN0578)",BYRD,"Domine, secundum actum meum"
TALLIS Te Deum (Signum Classics 635212000229),TALLIS,Te Deum
"ALBINONI Oboe Concerto in B-flat major, Op. 9, No. 11 (8.550739)",ALBINONI,"Oboe Concerto in B-flat major, Op. 9, No. 11"
"BEETHOVEN Symphony No. 6 in F major, Op. 68, ""Pastoral"": I. Allegro ma non troppo (8.553474)",BEETHOVEN,"Symphony No. 6 in F major, Op. 68, ""Pastoral"": I. Allegro ma non troppo"
"MOZART Divertimento in D major, K. 136, ""Salzburg Symphony No. 1"": II. Andante (8.550108)",MOZART,"Divertimento in D major, K. 136, ""Salzburg Symphony No. 1"": II. Andante"
"DVORAK Symphony No. 9 in E minor, Op. 95, B. 178, ""From the New World"" (8.550271)",DVORAK,"Symphony No. 9 in E minor, Op. 95, B. 178, ""From the New World"""
"BEETHOVEN Piano Concerto No. 4 in G major, Op. 58: III. Rondo (8.550122)",BEETHOVEN,"Piano Concerto No. 4 in G major, Op. 58: III. Rondo"
