COMPOSER composition title,composer(abbrev),composition
"JS BACH The Well-Tempered Clavier Book I: Prelude and Fugue No. 12 in F minor, BWV 857 (8.553796-97)",JS BACH,"The Well-Tempered Clavier Book I: Prelude and Fugue No. 12 in F minor, BWV 857"
"CHOPIN Ballade No. 1 in G minor, Op. 23 (8.550508)",CHOPIN,"Ballade No. 1 in G minor, Op. 23"
"E STRAUSS Bahn Frei!, Op. 45 (Marco Polo 8.223483)",E STRAUSS,"Bahn Frei!, Op. 45"
"HANSON Symphony No. 2, Op. 30, ""Romantic"": II. Andante con tenerezza (8.559701)",HANSON,"Symphony No. 2, Op. 30, ""Romantic"": II. Andante con tenerezza"
WAGNER Das Rheingold: Scene IV: Entrance of the Gods into Valhalla (8.551107),WAGNER,Das Rheingold: Scene IV: Entrance of the Gods into Valhalla
"SCHUBERT Ellens Gesang III (Ave Maria!), Op. 52, No. 6, D. 839, ""Hymne an die Jungfrau"" (8.553751)",SCHUBERT,Ellens Gesang III
"LISZT Liebestraume, S541/R211 (8.553595)",LISZT,"Liebestraume, S541/R211"
PUCCINI Manon Lescaut: In Quelle Trine Morbide (8.660019-20),PUCCINI,Manon Lescaut: In Quelle Trine Morbide
WAGNER Gotterdammerung: Siegfrieds Trauermarsch (Siegfried's Funeral March) (8.660179-82),WAGNER,Gotterdammerung: Siegfrieds Trauermarsch
"VIVALDI Concerto for Two trumpets in C major, RV 537: I. Allegro (8.554040)",VIVALDI,"Concerto for Two trumpets in C major, RV 537: I. Allegro"
"VERDI Otello: Act IV: Mia madre aveva una povera ancella, ""Willow Song"" (Orfeo C698072I)",VERDI,"Otello: Act IV: Mia madre aveva una povera ancella, ""Willow Song"""
"VIVALDI Concerto for Two Trumpets in C major, RV 537 (8.553204)",VIVALDI,"Concerto for Two Trumpets in C major, RV 537"
"MOZART Die Zauberflote (The Magic Flute), K. 620: Dies Bildnis ist bezaubernd schon (8.660030-31)",MOZART,Die Zauberflote
RESPIGHI 4 liriche: Sopra un'aria antica (Hungaroton 5991813179524),RESPIGHI,4 liriche: Sopra un'aria antica
"ROSSINI La cenerentola (Cinderella): Si, ritrovarla io giuro (8.660191-92)",ROSSINI,La cenerentola
GRUBER Stille Nacht (Silent Night) (Capriccio C49105),GRUBER,Stille Nacht
"BEETHOVEN Cello Sonata No. 2 in G minor, Op. 5, No. 2 (8.550479)",BEETHOVEN,"Cello Sonata No. 2 in G minor, Op. 5, No. 2"
ARNE Rule Brittania (8.553961),ARNE,Rule Brittania
HENRY Le voile d'Orphee (9.80117),HENRY,Le voile d'Orphee
TCHAIKOVSKY The Nutcracker: VIII. Waltz of the Flowers (8.550050),TCHAIKOVSKY,The Nutcracker: VIII. Waltz of the Flowers
"MOZART 6 German Dances, K. 509 (Capriccio C10360)",MOZART,"6 German Dances, K. 509"
"MOZART Concerto for 2 Pianos in E-flat major, K. 365: III. Rondo (9.80255)",MOZART,"Concerto for 2 Pianos in E-flat major, K. 365: III. Rondo"
